,Role,Company,Source,Location,Description
0,Android Developer,Masters India Private Limited,via SmartRecruiters Jobs,"Noida, Uttar Pradesh",Null
1,Software Technologist I - Android,Philips,via Philips Careers,"Bengaluru, Karnataka (+1 other)","Job Title
Software Technologist I - Android

Job Description

In this role, you have the opportunity to

To be a part of the innovation that Philips is driving on Digital Transformation. TO be a part of The Baby and Pregnancy plus team located at Bangalore working in close collaboration with H&P business.

You are responsible for
• Mandatory skills: Core Java, Android – UX, DB & REST services.
• Expereience in TDD using Junit\Mockito & Espresso, basic design patterns
• Experience with Bluetooth and wifi connectivity frameworks

You are a part of

The Healthy Sleep Solutions team located at Bangalore working in close collaboration with SRC business. Part of PH -DSI

To succeed in this role, you should have the following skills and experience
• Minimum 6-8 years of experience in developing Android apps development with at least two-three apps that are on the Play Store/App Store that you are proud to discuss with us.
• Good Communication and a good team player.
• Good logical and... analytical thinking and Problem solving skills

In return, we offer you

A chance to serve a bigger purpose. At Philips, our mission to improve the lives of 3 billion people per year by 2025, and everyday we move closer to achieving our goal by creating cutting-edge solutions that lead to confident diagnosis, improved care, and increased quality of life for patients drive us. We enable our employees to create a legacy in life through their work and support their development through people-centric learning, total rewards and personalized development planning programs. Our business provides unique opportunities to develop cutting edge enterprise software solutions and deliver meaningful solutions in the healthcare space and this new position is a unique opportunity to shape the next generation solutions we are developing.

#LI-Philin

Why should you join Philips?

Working at Philips is more than a job. It’s a calling to create a healthier society through meaningful work, focused on improving 2.5 billion lives a year by delivering innovative solutions across the health continuum. Our people experience a variety of unexpected moments when their lives and careers come together in meaningful ways. Learn more by watching this video.

To find out more about what it’s like working for Philips at a personal level, visit the Working at Philips page on our career website, where you can read stories from our employee blog. Once there,you can also learn about our recruitment process, or find answers to some of the frequently asked questions.

Contact

If you forgot your password, you can click the Forgot Password button on the Sign In screen to reset it  analytical thinking and Problem solving skills

In return, we offer you

A chance to serve a bigger purpose. At Philips, our mission to improve the lives of 3 billion people per year by 2025, and everyday we move closer to achieving our goal by creating cutting-edge solutions that lead to confident diagnosis, improved care, and increased quality of life for patients drive us. We enable our employees to create a legacy in life through their work and support their development through people-centric learning, total rewards and personalized development planning programs. Our business provides unique opportunities to develop cutting edge enterprise software solutions and deliver meaningful solutions in the healthcare space and this new position is a unique opportunity to shape the next generation solutions we are developing.

#LI-Philin

Why should you join Philips?

Working at Philips is more than a job. It’s a calling to create a healthier society through meaningful work, focused on improving 2.5 billion lives a year by delivering innovative solutions across the health continuum. Our people experience a variety of unexpected moments when their lives and careers come together in meaningful ways. Learn more by watching this video.

To find out more about what it’s like working for Philips at a personal level, visit the Working at Philips page on our career website, where you can read stories from our employee blog. Once there,you can also learn about our recruitment process, or find answers to some of the frequently asked questions.

Contact

If you forgot your password, you can click the Forgot Password button on the Sign In screen to reset it"
2,Android Developer,Collegedunia,via AngelList,Delhi,"Collegedunia is an education portal, matching students with best colleges in India & abroad. We help in college research, exam prep tips, application process & also provide insights on campus life.

Launched in 2014, we are the highest ranked portal by SimilarWeb in education. We have also been awarded as - Best Educational Portal- by IAMAI in 2017, and listed by TechinAsia as - Top 100 Startups in Asia- .

Collegedunia is fuelled by energy of over 280 individuals having average age around 25 years. The talent pool comprises data analysts, engineers, designers, writers, managers & marketers, which is increasing at 10% every month.

To Know More About Us :

- https://www.linkedin.com/company/collegedunia

- https://www.techinasia.com/india-collegedunia-career-counseling

- https://www.thehindubusinessline.com/business-wire/collegedunia-bags-first-position-in-india-digital-awards- 2017/article9538122.ece

Android Developer

We are looking for an Android developer to join our team who... shares our passion to create a seamless product verification platform for consumers. If you love thinking big and delving deep and enjoy envisioning truly elegant solutions, this role is definitely for you.

What you will be doing

• Design and build applications for the Android platform

• Ensure the performance, quality, and responsiveness of applications

• Collaborate with a team to define, design, and ship new features

• Identify and correct bottlenecks and fix bugs

• Help maintain code quality, organization, and automatization

What you need

• Expertise with Java, XML, and Material Design

• Experience with offline storage, threading, and performance tuning

• Familiarity with RESTful APIs to connect Android applications to back-end services

• Experience with Firebase is a plus (FCM, analytics)

• Understanding of Android’s design principles and interface guidelines

• Strong communication skills, get-things-done attitude, and empathy

• Strong sense of ownership, drive and an obsessive attention to detail.

• Comfortable with iterative development practices and code reviews

• Previous experience as part of a product oriented team is a plus

Collegedunia focuses on Classifieds and Internet Marketing. Their company has offices in Delhi. They have a large team that's between 201-500 employees. To date, Collegedunia has raised $150K of funding; their latest round was closed on September 2014.

You can view their website at http://collegedunia.com or find them on Twitter, Facebook, and LinkedIn  shares our passion to create a seamless product verification platform for consumers. If you love thinking big and delving deep and enjoy envisioning truly elegant solutions, this role is definitely for you.

What you will be doing

• Design and build applications for the Android platform

• Ensure the performance, quality, and responsiveness of applications

• Collaborate with a team to define, design, and ship new features

• Identify and correct bottlenecks and fix bugs

• Help maintain code quality, organization, and automatization

What you need

• Expertise with Java, XML, and Material Design

• Experience with offline storage, threading, and performance tuning

• Familiarity with RESTful APIs to connect Android applications to back-end services

• Experience with Firebase is a plus (FCM, analytics)

• Understanding of Android’s design principles and interface guidelines

• Strong communication skills, get-things-done attitude, and empathy

• Strong sense of ownership, drive and an obsessive attention to detail.

• Comfortable with iterative development practices and code reviews

• Previous experience as part of a product oriented team is a plus

Collegedunia focuses on Classifieds and Internet Marketing. Their company has offices in Delhi. They have a large team that's between 201-500 employees. To date, Collegedunia has raised $150K of funding; their latest round was closed on September 2014.

You can view their website at http://collegedunia.com or find them on Twitter, Facebook, and LinkedIn"
3,"Android Developer -Software Engineer Android, Software Engineer...",ANI Calls India Private Limited,via LinkedIn,"Bengaluru, Karnataka","Job Description

: 5+ years of Mobile Android programming experience with 1+ years experience in Android Development using Kotlin and Java 1-2 years of experience developing Native/Hybrid apps for Android Knowledge in developing an app(s) using

Job Description

5+ years of Mobile Android programming experience with 1+ years experience in Android Development using Kotlin and Java

1-2 years of experience developing Native/Hybrid apps for Android

Knowledge in developing an app(s) using Android Studio

Experience

in the Google Play Store deployment process

Spearhead in the definition, implementation, and rollout of significant features on mobile apps

Significant experience with server-side programming, including API design

Knowledge of and good use of design patterns and object-oriented code

Experience

analyzing and improving app performance and resource utilization across the full stack

Adaptability to new technology on the Android platform

Familiarity with NDK, Firebase, Git... and Bitbucket is a plus  and Bitbucket is a plus"
4,Android Developer,PagarBook,via BigShyft,"Bengaluru, Karnataka (+1 other)","What You'll Do :
• Translate product designs and features into high quality code within project constraints through diligent planning and attention to detail.
• Design and develop efficient reusable components. Follow SDLC best practices by ensuring coding and testing standards.
• Take the lead to maintain and re-factor code and remedy performance bottlenecks.
• Collaborate with different tech teams, product teams and QA.
• Work to architect simple, reliable and elegant applications.

What Makes You A Great Fit :
• Strong knowledge of Android design principles, patterns, and best practices.
• Good problem-solving skills and verse with OOPs fundamentals.
• Proficiency in Java, Kotlin and a solid understanding of Android SDK and Android architecture (MVP/MVVM, Architecture components, Jetpack, Dagger, RxJava, Coroutines, Data binding, Retrofit etc).
• Strong system design and architecture skills.
• Experience with multi-threading, memory management, databases.
• Experience in working... with REST APIs, JSON, XML, etc.
• Experience/Knowledge of unit testing and integration testing.
• Experience with frameworks like Flutter, React-Native etc  with REST APIs, JSON, XML, etc.
• Experience/Knowledge of unit testing and integration testing.
• Experience with frameworks like Flutter, React-Native etc"
5,Android Application Development Application Developer,Accenture in India,via LinkedIn,"Bengaluru, Karnataka","About Accenture: Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology and Operations services-all powered by the world's largest network of Advanced Technology and Intelligent Operations centers. Our 514,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at www.accenture.com Accenture | Let there be change We embrace change to create 360-degree value www.accenture.com
• Project Role :Application Developer
• Project Role Description :Design, build and configure applications to meet business process and application requirements.
• Management Level :10
• Work Experience :4-6 years
•... Work location :Bengaluru
• Must Have Skills :Android Application Development
• Good To Have Skills :
• Job Requirements :
• Key Responsibilities : a: Ability to understand the requirements and create design doc for the release b: Ability to estimate the tasks and discuss with the clients on Risks/Issues c: Should be able to work on a specific module independently and test the application d: Should be able to do code reviews, suggest the team on best practices e: Ability to create necessary documentation, give presentation to clients and get necessary approvals
• Technical Experience : a: Strong hands on experience on RESTful API, SOAP API, Web Services b: Expert understanding in SOA, ESB, Messaging c: Strong knowledge in Java, Web services and building integration projects using MuleESB, Mule API d: Experience working with RAML using Mule soft RAML specifications/build experience e: Good debugging and trouble shooting skills
• Professional Attributes : A: Good Communication skills and ability to handle client very efficiently B: Adaptable and Flexible C: Good Analytical Skills D: Should be ready to work Shifts

15 years of full time education  Work location :Bengaluru
• Must Have Skills :Android Application Development
• Good To Have Skills :
• Job Requirements :
• Key Responsibilities : a: Ability to understand the requirements and create design doc for the release b: Ability to estimate the tasks and discuss with the clients on Risks/Issues c: Should be able to work on a specific module independently and test the application d: Should be able to do code reviews, suggest the team on best practices e: Ability to create necessary documentation, give presentation to clients and get necessary approvals
• Technical Experience : a: Strong hands on experience on RESTful API, SOAP API, Web Services b: Expert understanding in SOA, ESB, Messaging c: Strong knowledge in Java, Web services and building integration projects using MuleESB, Mule API d: Experience working with RAML using Mule soft RAML specifications/build experience e: Good debugging and trouble shooting skills
• Professional Attributes : A: Good Communication skills and ability to handle client very efficiently B: Adaptable and Flexible C: Good Analytical Skills D: Should be ready to work Shifts

15 years of full time education"
6,Kotlin Developer/Android,ANI Calls India Private Limited,via Monster India,"Bengaluru, Karnataka","Job Description : • 8+ years in Android and Kotlin development experience. • Must be well versed in Android/Kotlin design and implementation principles. • Have hands-on experience in app development using Android and Kotlin coding standards and unit testing. • Application Monitoring Splunk and AppDynamics. • Experience in agile-based project execution. • Must have Agile Tooling Jira, Confluence, or Slack. • Automated Testing tooling and methodologies. "
7,Android Engineer,Obvious,via Obvious,"Bengaluru, Karnataka","We are a Bangalore, India based company. We are currently working remotely, and intend to, till December 2021. All of our team currently works out of different locations in India. We are happy to receive applications from folks anywhere in the India time zone.

We’re a small team that focuses on the big things, punching way above our weight. Our craft is important to us, and we hone it and utilise it in the context of our work. We invest in ourselves and care about each other — a great team is multiplicative and not additive!

To this end, we maintain a playbook of our lore and practices. We’re product engineers and not just software engineers. We understand that great software is only a small part of value-creation. We work with our designers, often in the same room, to rapidly iterate and validate our assumptions.

We believe in the DevOps movement, and imbibe the principles in all our work — yes, even Android engineering! We review code with care and guidance, not as an... afterthought, but every day as part of our workflow. We regularly share our work and learnings and engage with the community.

We are very aware of the reality during the pandemic that we often end up ""living at work"" as opposed to ""working from home"". To that end, we give time-off when needed. We normalise taking small breaks during the day or being available only 70% on some days. We also have carefully constructed hardware & computer equipment guidelines including a one time WFH fund to help put together a stronger infrastructure at home.

As conditions change for how we work remotely, our guidelines will evolve to make sure everyone is comfortable.

We are prioritising applicants from under-represented, diverse backgrounds.
""We believe that the strongest solutions (from technology and design perspectives) are created when a diversity of voices, opinions and perspectives are brought to bear on problems that our clients hire us to solve.""

Core requirements
• Have worked across different components of an app, or on multiple apps
• Familiar with using the Android SDK to build applications using either Java or Kotlin
• Have 3+ years of experience in Android application development

Not required but nice to have
• Familiarity with cross-platform Flutter toolkit, or
• Familiarity with building iOS apps

Engineering aptitude
• Owns small features, starting from technical design through completion; coordinates with other senior engineer(s).
• Appreciates and participates in technical discussions, and values guidance and feedback.
• Does not need mentoring on a daily basis; makes steady progress by themselves, and knows when to ask for help to get unblocked.
• Comfortable with referencing technical specifications, API references, source code, and man pages to understand concepts or solve issues.

Design process
• Understands the role and importance of design -- including consistency, conventions, and human interface guidelines.
• Familiar with the Material design language and controls; knows when to use which control, and knows how to implement them in code.

Code reviews
• Understands the value of peer-reviewed code; learns how to be unbiased and provide effective feedback.
• Asks senior engineers for help when needed (e.g.: architecture decisions, refactoring).

Release engineering
• Recognises the role of a build system, and how to use templates to setup new projects.
• Works with existing build systems to add dependencies and make minor changes.

If you think you meet 60 - 75% of our criteria then we would love to connect and explore possibilities with you. So please do apply or write-in without hesitation  afterthought, but every day as part of our workflow. We regularly share our work and learnings and engage with the community.

We are very aware of the reality during the pandemic that we often end up ""living at work"" as opposed to ""working from home"". To that end, we give time-off when needed. We normalise taking small breaks during the day or being available only 70% on some days. We also have carefully constructed hardware & computer equipment guidelines including a one time WFH fund to help put together a stronger infrastructure at home.

As conditions change for how we work remotely, our guidelines will evolve to make sure everyone is comfortable.

We are prioritising applicants from under-represented, diverse backgrounds.
""We believe that the strongest solutions (from technology and design perspectives) are created when a diversity of voices, opinions and perspectives are brought to bear on problems that our clients hire us to solve.""

Core requirements
• Have worked across different components of an app, or on multiple apps
• Familiar with using the Android SDK to build applications using either Java or Kotlin
• Have 3+ years of experience in Android application development

Not required but nice to have
• Familiarity with cross-platform Flutter toolkit, or
• Familiarity with building iOS apps

Engineering aptitude
• Owns small features, starting from technical design through completion; coordinates with other senior engineer(s).
• Appreciates and participates in technical discussions, and values guidance and feedback.
• Does not need mentoring on a daily basis; makes steady progress by themselves, and knows when to ask for help to get unblocked.
• Comfortable with referencing technical specifications, API references, source code, and man pages to understand concepts or solve issues.

Design process
• Understands the role and importance of design -- including consistency, conventions, and human interface guidelines.
• Familiar with the Material design language and controls; knows when to use which control, and knows how to implement them in code.

Code reviews
• Understands the value of peer-reviewed code; learns how to be unbiased and provide effective feedback.
• Asks senior engineers for help when needed (e.g.: architecture decisions, refactoring).

Release engineering
• Recognises the role of a build system, and how to use templates to setup new projects.
• Works with existing build systems to add dependencies and make minor changes.

If you think you meet 60 - 75% of our criteria then we would love to connect and explore possibilities with you. So please do apply or write-in without hesitation"
8,Android Developer,ExpertEase Software India Pvt Ltd,via CutShort,"Bengaluru, Karnataka","Experience- 2 - 7 years of experience
Skills Required- Android Development, Java, SDK
Type-
Android Developer
Purpose of the role
Lead Mobile App Development @ DocsApp and Deliver quality app usage experience for DocsApp
users & Doctors on the platform.
Responsibilities
• Develop cutting edge user experience for DocsApp users & doctors on the platform
• Design, build, test, deploy, maintain, and enhance android apps
• Contribute towards the product roadmap
• Work on a interesting range of problems like instant messaging in poor networks, smart
diagnosis- personalization for doctors in each speciality, optimal matching problems
• Help bring healthcare processes on mobile- prescriptions, auto-diagnosis
• Work with network and battery optimisations, messaging, APIs, external libs, SDKs,
Analytics, Offline apps, UI, visualisations and animations
• Lead team of developers and work in tandem with Product and Design teams
Key Skills
• 3+ years of experience with building quality Android... apps
• Strong application architectural experience
• Strong experience in memory management, performance tuning, and resource
optimisations
• Built and managed apps with over 1 million users
• Experience of working with Test Driven Development
• Experience with AB testing, Analytics, offline syncing, GCMs etc
• Knowledge of MySQL is preferred  apps
• Strong application architectural experience
• Strong experience in memory management, performance tuning, and resource
optimisations
• Built and managed apps with over 1 million users
• Experience of working with Test Driven Development
• Experience with AB testing, Analytics, offline syncing, GCMs etc
• Knowledge of MySQL is preferred"
9,Android Developer,Qodenext India Private Limited,via Placement India,"Ahmedabad, Gujarat","Need A Graduate (B. Sc IT, BCA, B. Tech) Who Knows The Basics Of Android Development And Is An Experienced App Programmer. Will Need A Training Certificate Or Proof Of Experience Or Portfolio To Be Shown.

Desired Candidate Profile:

Having Knowledge Of Software Development On Android Technologies

JAVA, Android SDK, Android Studio, SQLite, HTML, CSS, MS-SQL 2008, OOP, C, C++

Java Script, Jquery, JSON, REST API, XML/SOAP

Knowledge Of Flutter And IOS Is Added Advantage

Strong Knowledge Of Android UI Design Principles, Patterns, And Best Practices "
10,"Senior Software Engineer, Android, Looker, Google Cloud",Google,via Google Careers,"Hyderabad, Telangana","Google Cloud's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google Cloud's needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. You will anticipate our customer needs and be empowered to act like an owner, take action and innovate. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.

Google Cloud provides organizations with... leading infrastructure, platform capabilities and industry solutions. We deliver enterprise-grade cloud offerings that leverage Google’s cutting-edge technology to help companies operate more efficiently and adapt to changing needs, giving customers a foundation for the future. Customers in more than 150 countries turn to Google Cloud as their trusted partner to solve their most critical business problems. Looker for Google Cloud Platform allows anyone in your business to quickly analyze and find insights in your datasets. Looker makes it easy to build a data exploration platform that makes your data accessible in a meaningful, intuitive way for your entire organization.

Looker is a unified platform that powers data experiences and delivers actionable business insights to employees at the point of decision. Looker integrates data into the daily workflows of users to allow organizations to extract value from data at web-scale  leading infrastructure, platform capabilities and industry solutions. We deliver enterprise-grade cloud offerings that leverage Google’s cutting-edge technology to help companies operate more efficiently and adapt to changing needs, giving customers a foundation for the future. Customers in more than 150 countries turn to Google Cloud as their trusted partner to solve their most critical business problems. Looker for Google Cloud Platform allows anyone in your business to quickly analyze and find insights in your datasets. Looker makes it easy to build a data exploration platform that makes your data accessible in a meaningful, intuitive way for your entire organization.

Looker is a unified platform that powers data experiences and delivers actionable business insights to employees at the point of decision. Looker integrates data into the daily workflows of users to allow organizations to extract value from data at web-scale"
11,Work From Home - Android Developer,Chetu India,via WorkIndia.in,Delhi,"Responsible For Building, Coding And Designing Android Apps, Fixing Bugs, Create User Friendly Application. Having Knowledge About Kotlin

Salary: Rs. 22000 - Rs. 42000

Qualification: Graduate

Location: Sector 63 - Noida

Work Hours: 2:30 pm - 11:30pm | Monday to Saturday

Job Category: Programmer

Thoda English

More Than 2 Years Experience Compulsory. | Skills Needed : Android "
12,Android Developer,Tech Active Solutions India (P) Limited,via Shine.com,"Bengaluru, Karnataka (+1 other)","We are looking for an experienced Android Developer (0.6- 2yr) who possesses a passion for pushing mobile technologies to the limits. This Android app developer will work with our team of talented engineers to design and build the next generation of our mobile applications.

Responsibilities :

Designing and developing advanced applications for the Android platform.

Unit- testing code for robustness, including edge cases, usability, and general reliability.

Bug fixing and improving application performance.

Design and build advanced applications for the Android platform.

Collaborate with cross- functional teams to define, design, and ship new features.

Work with outside data sources and APIs

Unit- test code for robustness, including edge cases, usability, and general reliability.

Work on bug fixing and improving application performance.

Continuously discover, evaluate, and implement new technologies to maximize development efficiency.

Requirements :

Proven software... development experience and Android skills development.

Proven working experience in Android app development.

Have published at least one original Android app.

Experience with Android SDK.

Experience working with remote data via REST and JSON.

Experience with third- party libraries and APIs

Solid understanding of the full mobile development life cycle.

Subject Name: Android Developer - BANGALORE Want us build your next mobile app  development experience and Android skills development.

Proven working experience in Android app development.

Have published at least one original Android app.

Experience with Android SDK.

Experience working with remote data via REST and JSON.

Experience with third- party libraries and APIs

Solid understanding of the full mobile development life cycle.

Subject Name: Android Developer - BANGALORE Want us build your next mobile app"
13,Mobile App Developer(Android),Siemens Technology India,via LinkedIn,"Bengaluru, Karnataka","Role: Mobile App Developer

Electrical Energy keeps the world moving. No matter where the power comes from or where it needs to go we make sure it makes its way.

Can you help us shape the future? We’re looking for dedicated people with the skills and vision to build a better tomorrow. Join our Smart Grids and Infrastructure team as a Mobile App Developer and help us create the technology that will transform entire industries, cities and even countries.

What will the future look like? What can we look forward to? We don´t know for sure. That´s why we need true pioneers who, while exploring the world of research and development, trigger innovative projects and come up with unusual paths towards a solution – our drive to make the “impossible” possible has no limits! This is your chance: drive global change with us.

Before our software developers write even a single line of code, they have to understand what drives our customers. What is the environment? What is the user story based... on? Implementation means – trying, testing, and improving outcomes until a final solution emerges. Knowledge means exchange – discussions with colleagues from all over the world. Join our team and enjoy the freedom to think in completely new categories.

What part will you play!
• Implements innovative Products and Solution Development processes and tools by utilizing his/he expertise in the field of mobile application development, preferably in the area of Energy/Industrial automation domain
• Ensures adherence to defined guidelines, processes and procedures, for the team assigned.
• Design & develop Android Mobile applications

Use Your Skills To Move The World Forward
• We need a graduate - BE/B.Tech/MCA/MSc (Computer Science or equivalent) with 4 to 7 years of experience in mobile application development, preferably in the area of Energy / Industrial automation domain.
• Advanced C#, Xamarin Android (not Xamarin forms), experience in Android UI development (Must Have)
• Exposure on Native Android, C# Async programming, Tools experience and Visual studio, NUnit, Git

We’ve got quite a lot to offer. How about you?

This role is based in Bangalore. You’ll also get to visit other locations in India and beyond, so you’ll need to go where this journey takes you. In return, you’ll get the chance to work with teams impacting entire cities, countries – and the shape of things to come.

We’re Siemens. A collection of over 379,000 minds building the future, one day at a time in over 200 countries. We're dedicated to equality, and we encourage applications that reflect the diversity of the communities we work in. All employment decisions at Siemens are based on qualifications, merit and business need. Bring your curiosity and creativity and help us craft tomorrow.

Find out more about Siemens careers at: www.siemens.com/careers

Organization: Advanta

Company: Siemens Technology and Services Private Limited

Experience

Level: Experienced Professional

Job Type

: Full-time  on? Implementation means – trying, testing, and improving outcomes until a final solution emerges. Knowledge means exchange – discussions with colleagues from all over the world. Join our team and enjoy the freedom to think in completely new categories.

What part will you play!
• Implements innovative Products and Solution Development processes and tools by utilizing his/he expertise in the field of mobile application development, preferably in the area of Energy/Industrial automation domain
• Ensures adherence to defined guidelines, processes and procedures, for the team assigned.
• Design & develop Android Mobile applications

Use Your Skills To Move The World Forward
• We need a graduate - BE/B.Tech/MCA/MSc (Computer Science or equivalent) with 4 to 7 years of experience in mobile application development, preferably in the area of Energy / Industrial automation domain.
• Advanced C#, Xamarin Android (not Xamarin forms), experience in Android UI development (Must Have)
• Exposure on Native Android, C# Async programming, Tools experience and Visual studio, NUnit, Git

We’ve got quite a lot to offer. How about you?

This role is based in Bangalore. You’ll also get to visit other locations in India and beyond, so you’ll need to go where this journey takes you. In return, you’ll get the chance to work with teams impacting entire cities, countries – and the shape of things to come.

We’re Siemens. A collection of over 379,000 minds building the future, one day at a time in over 200 countries. We're dedicated to equality, and we encourage applications that reflect the diversity of the communities we work in. All employment decisions at Siemens are based on qualifications, merit and business need. Bring your curiosity and creativity and help us craft tomorrow.

Find out more about Siemens careers at: www.siemens.com/careers

Organization: Advanta

Company: Siemens Technology and Services Private Limited

Experience

Level: Experienced Professional

Job Type

: Full-time"
